Country_Name,Year,Quarter,YearQuarter,ICT_Type,ICTUsagePercentage,UnitOfMeasure,Breakdown
Bulgaria,2022,,2022,Individuals using the Internet - last 3 months,79.1269,Percentage of population,Breakdown: From 16 to 74 years
Bulgaria,2023,,2023,Individuals using the Internet - last 3 months,80.3896,Percentage of population,Breakdown: From 16 to 74 years
Bulgaria,2024,,2024,Individuals using the Internet - last 3 months,82.4389,Percentage of population,Breakdown: From 16 to 74 years
Bulgaria,2025,,2025,Individuals using the Internet - last 3 months,86.84530000000001,Percentage of population,Breakdown: From 16 to 74 years
Croatia,2018,,2018,Individuals using the Internet - last 3 months,75.2946,Percentage of population,Breakdown: From 16 to 74 years
Croatia,2019,,2019,Individuals using the Internet - last 3 months,79.0798,Percentage of population,Breakdown: From 16 to 74 years
Croatia,2020,,2020,Individuals using the Internet - last 3 months,78.32090000000001,Percentage of population,Breakdown: From 16 to 74 years
Croatia,2021,,2021,Individuals using the Internet - last 3 months,81.254,Percentage of population,Breakdown: From 16 to 74 years
Croatia,2022,,2022,Individuals using the Internet - last 3 months,82.0716,Percentage of population,Breakdown: From 16 to 74 years
Croatia,2023,,2023,Individuals using the Internet - last 3 months,83.3982,Percentage of population,Breakdown: From 16 to 74 years
Croatia,2024,,2024,Individuals using the Internet - last 3 months,83.63239999999999,Percentage of population,Breakdown: From 16 to 74 years
Croatia,2025,,2025,Individuals using the Internet - last 3 months,85.9007,Percentage of population,Breakdown: From 16 to 74 years
Egypt,2019,,2019,Individuals using the Internet - last 3 months,56.73560199,Percentage of population,Breakdown: From 16 to 74 years
Egypt,2020,,2020,Individuals using the Internet - last 3 months,71.91420097,Percentage of population,Breakdown: From 16 to 74 years
Egypt,2022,,2022,Individuals using the Internet - last 3 months,72.2,Percentage of population,Breakdown: From 16 to 74 years
Romania,2018,,2018,Individuals using the Internet - last 3 months,70.68130000000001,Percentage of population,Breakdown: From 16 to 74 years
Romania,2019,,2019,Individuals using the Internet - last 3 months,73.6575,Percentage of population,Breakdown: From 16 to 74 years
Romania,2020,,2020,Individuals using the Internet - last 3 months,78.4553,Percentage of population,Breakdown: From 16 to 74 years
Romania,2021,,2021,Individuals using the Internet - last 3 months,83.5904,Percentage of population,Breakdown: From 16 to 74 years
Romania,2022,,2022,Individuals using the Internet - last 3 months,85.5031,Percentage of population,Breakdown: From 16 to 74 years
Romania,2023,,2023,Individuals using the Internet - last 3 months,89.2034,Percentage of population,Breakdown: From 16 to 74 years
Romania,2024,,2024,Individuals using the Internet - last 3 months,91.2905,Percentage of population,Breakdown: From 16 to 74 years
Romania,2025,,2025,Individuals using the Internet - last 3 months,93.15050000000001,Percentage of population,Breakdown: From 16 to 74 years
